name,edition,type,price,rating
Wild Turkey,Wild Turkey Rare Breed Barrel Proof Bourbon,Bourbon,49.99,8.2
Maker's mark,Maker's Mark Cask Strength Bourbon,Bourbon,55.99,7.7
Evan Williams,Evan Williams Single Barrel Bourbon,Bourbon,29.99,7.3
Frida Kahlo,Frida Kahlo Tequila Blanco,Tequila,43.99,7.5
Casa Noble,Casa Noble Single Barrel Extra Añejo Tequila,Tequila,96.99,9
Plantation,Plantation XO Barbados 20th Anniversary Rum,Rum,51.99,8.5
Leopold Bros,Leopold Bros American Small Batch Gin,Gin,36.99,7.5
Redbreast,Redbreast Lustau Edition,Irish Whiskey,69.99,7.9
Buchanan's,Buchanan's 18 Year Old Special Reserve,Scotch,72.99,8.3
Paul John,Paul John Bold,Indian Whisky,66.99,8.7
Filibuster,Filibuster Dual Cask Straight Bourbon Whiskey,Bourbon,49.99,7.2
Westward Whiskey,Westward American Single Malt Whiskey,American Whiskey,70.99,7.1
Sagamore Spirit,Sagamore Spirit Cask Strength Straight Rye Whiskey,Rye,64.99,7.8
Berkshire,Berkshire Bourbon,Bourbon,49.99,7.2
Vago,Vago Elote,Mezcal,56.99,6.7
Sipsmith,Sipsmith London Dry Gin,Gin,33.99,7.8
Midleton,Midleton Very Rare Irish Whiskey,Irish Whiskey,210.99,8.7
Buffalo Trace,Buffalo Trace Bourbon,Bourbon,22.99,8
Henry McKenna,Henry McKenna 10 Year Old Single Barrel Kentucky Straight Bourbon,Bourbon,60.99,8
WhistlePig,WhistlePig 10 Year Old Straight Rye Whiskey,Rye,74.99,7.9
Mitchell & Son,Yellow Spot 12 Year Old,Irish Whiskey,100.99,8.2
Deanston,Deanston Virgin Oak,Scotch,36.99,7.3
Leyenda del Milagro,Milagro Tequila Select Barrel Reserve Reposado,Tequila,61.99,8.3
Brenne,Brenne 10 Year Old Single Malt Whisky,French Whisky,98.99,7.9
Lagavulin,Lagavulin 8 Year Old,Scotch,49.99,7.9
Wild Turkey,Russell's Reserve 10 Year Old Bourbon Whiskey,Bourbon,33.99,7.6
Michter's,Michter's US*1 American Whiskey,American Whiskey,45.99,8.3
Kaiyo,Kaiyo Mizunara Aged Cask Strength Japanese Malt Whisky,Japanese Whisky,94.99,7.3
Hine,Hine Antique XO Premier Cru Cognac,Cognac,204.99,7.7
Hine,Hine Rare VSOP Cognac,Cognac,48.99,8
No. 209,No. 209 Gin,Gin,29.99,7.6
Ardbeg,Ardbeg Uigeadail,Scotch,74.99,8.5
Louis Royer,Louis Royer XO Cognac,Cognac,171.99,8.1
El Tesoro de Don Felipe,El Tesoro de Don Felipe Blanco Tequila,Tequila,46.99,7.7
Michter's,Michter's US*1 Small Batch Bourbon Whiskey,Bourbon,42.99,7.8
Frapin,Frapin VIP XO Cognac,Cognac,245.99,8.9
Appleton,Appleton Estate Rum 21 Year Old,Rum,135.99,9.1
New Holland Artisan Spirits,Knickerbocker Gin,Gin,30.99,7.6
Rebel Yell,Rebel Yell Small Batch Rye Whiskey,Rye,19.99,7.3
Edinburgh Gin,Edinburgh Gin,Gin,40.99,8.6
Few,Few American Gin,Gin,36.99,7.8
The Bitter Truth,The Bitter Truth Pink Gin,Gin,40.99,8.2
Garrison Brothers,Garrison Brothers Texas Bourbon Whiskey,Bourbon,70.99,7.8
Malfy,Malfy Gin Con Limone,Gin,30.99,8.1
Reisetbauer,Reisetbauer 12 Year Old Single Malt Whisky,Austrian Whisky,129.99,8.1
Knappogue Castle,Knappogue Castle 16 Year Old Sherry Cask Finish,Irish Whiskey,69.99,7.7
The Brooklyn Distilling Company,Brooklyn Small Batch Gin,Gin,44.99,7.8
Tap,Tap Rye Port Finish Canadian Whisky,Canadian Whisky,40.99,7.7
Koval,Koval Barreled Gin,Gin,48.99,8.3
Don Papa,Don Papa Small Batch Rum,Rum,40.99,8
Old Forester,Old Forester 1920 Prohibition Style Bourbon,Bourbon,60.99,8.1
Hennessy,Hennessy Paradis,Cognac,998.99,9.3
The Macallan,The Macallan Edition No.1,Scotch,1443.99,8.3
Corsair,Corsair Ryemageddon Whiskey,Rye,41.99,7.6
Maison Surrenne,Maison Surrene Cognac Borderies,Cognac,103.99,8.4
Jefferson's,Jefferson's Ocean Aged At Sea Bourbon,Bourbon,84.99,8.2
The Botanist,The Botanist Islay Dry Gin,Gin,37.99,8.7
Jameson,Jameson Black Barrel,Irish Whiskey,38.99,8
Matusalem,Matusalem 15 Gran Reserva Solera Rum,Rum,34.99,7.2
Oban,Oban Distillers Edition,Scotch,118.99,8.4
Tullamore D.E.W.,Tullamore Dew 12 Year Old,Irish Whiskey,52.99,8
Caorunn,Caorunn Small Batch Gin,Gin,33.99,7.7
Gosling's,Gosling's Family Reserve Old Rum,Rum,73.99,7.9
Reisetbauer,Reisetbauer Blue Gin,Gin,49.99,7.8
Basil Hayden's,Basil Hayden's Bourbon,Bourbon,35.99,7.9
Compass Box,Compass Box Hedonism,Scotch,107.99,7.5
Amrut,Amrut Cask Strength Whisky,Indian Whisky,81.99,8
Spring 44,Spring 44 Old Tom Gin,Gin,40.99,7.6
Scallywag,Scallywag Small Batch Release Speyside Malt Scotch Whisky,Scotch,66.99,8.1
Camus,Camus XO Borderies,Cognac,152.99,7.5
Tapatio,Tapatio Tequila Excelencia,Tequila,166.99,8.5
Bowmore,Bowmore 15 Year Old Darkest,Scotch,81.99,8.1
Beefeater,Beefeater Burrough's Reserve Gin,Gin,85.99,8.6
Heaven Hill,Mellow Corn,American Whiskey,19.99,7.2
Glen Grant,Glen Grant 12 Year Old,Scotch,47.99,7.9
Aberfeldy,Aberfeldy 21 Year Old,Scotch,108.99,8.3
Yamazaki,Yamazaki 12 Year Old,Japanese Whisky,201.99,8.8
Paul Giraud,Paul Giraud Tres Rare Cognac,Cognac,228.99,0
Black Button,Black Button Bespoke Bourbon Cream,Liqueur,28.99,7.7
Rémy Martin,Rémy Martin XO Cognac Vincent Leroy Limited Edition,Cognac,189.99,8.8
High West,High West Campfire Whiskey,American Whiskey,66.99,7.9
Monkey 47,Monkey 47 Schwarzwald Dry Gin,Gin,41.99,8.9
Laphroaig,Laphroaig Quarter Cask,Scotch,58.99,7.9
Tito's,Tito's Vodka,Vodka,20.99,7.9
Woodford Reserve,Woodford Reserve Kentucky Straight Rye Whiskey,Rye,31.99,7.8
Lagavulin,Lagavulin 12 Year Old Single Malt Scotch Whisky,Scotch,187.99,8.5
Fluid Dynamics,Fluid Dynamics Rye Manhattan,Rye,21.99,7.7
Paul John,Paul John Brilliance,Indian Whisky,54.99,6.7
Kilchoman,Kilchoman 100% Islay,Scotch,74.99,7.3
The Glenlivet,The Glenlivet Archive 21 Year Old,Scotch,240.99,9.1
Connemara,Connemara 12 Year Old Peated Whiskey,Irish Whiskey,78.99,6.6
Pasote,Pasote Reposado Tequila,Tequila,49.99,8.7
Santa Teresa,Santa Teresa 1796 Solera Rum,Rum,46.99,7.6
Arran,The Arran Amarone Cask Finish,Scotch,83.99,8.2
Los Nahuales,Los Nahuales Mezcal Reposado,Mezcal,72.99,8.1
Ardbeg,Ardbeg Corryvreckan,Scotch,84.99,8.4
Low Gap,Low Gap Bourbon,Bourbon,74.99,7.6
Cotswolds,Cotswolds Dry Gin,Gin,39.99,7.6
Low Gap,Low Gap Rye,Rye,77.99,7.8
Russell Henry Gin,Russell Henry Hawaiian Ginger Gin,Gin,45.99,8.3
Dictador,Dictador XO Solera Insolent Rum,Rum,99.99,9.2
Bushmills,Bushmills 16 Year Old,Irish Whiskey,91.99,8
Monkey Shoulder,Monkey Shoulder Blended Scotch Whisky,Scotch,32.99,7.4
Square One,Square One Botanical Vodka,Vodka,35.99,7
Koval,Koval Single Barrel Rye Whiskey,Rye,50.99,7.6
Glenfarclas,Glenfarclas 105,Scotch,86.99,7.6
Glenglassaugh,Glenglassaugh Revival,Scotch,58.99,7.6
Corsair,Corsair Centennial Hopped Whiskey,American Whiskey,59.99,5.6
Laphroaig,Laphroaig Triple Wood,Scotch,63.99,8.2
Ilegal Mezcal,Ilegal Mezcal Añejo,Mezcal,90.99,7.8
GlenDronach,GlenDronach 21 Year Old Parliament,Scotch,234.99,8.9
Bunnahabhain,Bunnahabhain 25 Year Old,Scotch,635.99,7.2
Breckenridge,Breckenridge Reserve Blend,Bourbon,48.99,8.3
Old Forester,Old Forester 1897 Bottled in Bond,Bourbon,55.99,7.3
Zafra Rum,Zafra 21 Year Old Master Reserve Rum,Rum,55.99,8.3
Aberlour,Aberlour 12 Year Old,Scotch,53.99,8.1
Breckenridge,Breckenridge Dark Arts Malt Mash Whiskey,American Whiskey,351.99,8.4
Breckenridge,Breckenridge Gin,Gin,24.99,7.3
Russell Henry Gin,Russell Henry London Dry Gin,Gin,41.99,8.1
VODKA DSP CA 162,VODKA DSP CA 162 Straight Vodka,Vodka,41.99,7.9
VODKA DSP CA 162,VODKA DSP CA 162 Citron Vodka,Vodka,31.99,7.4
Plantation,Plantation Rum Barbados 2001,Rum,72.99,8.1
Iron Smoke,Iron Smoke Straight Bourbon Whiskey,Bourbon,50.99,6.6
Iron Smoke,Rattlesnake Rosie's Apple Pie Whiskey,American Whiskey,37.99,6.9
Koval,Koval Single Barrel Millet Whiskey,American Whiskey,50.99,6.9
Dictador,Dictador 12 Year Old Solera System Rum,Rum,39.99,7.6
Casa Magdalena,Casa Magdalena Rum,Rum,24.99,8
Dictador,Dictador XO Solera Perpetual Rum,Rum,99.99,8.7
Krogstad,Krogstad Aquavit,Spirit,30.99,7.7
Dad's Hat,Dad's Hat Pennsylvania Rye,Rye,46.99,7.2
Koval,Koval Gin Gift Pack,Gin,38.99,7.7
Duncan Taylor,The Big Smoke 46,Scotch,58.99,8
Ilegal Mezcal,Ilegal Mezcal Joven,Mezcal,48.99,7.8
Koval,Koval Whiskey Gift Pack,American Whiskey,55.99,7.4
BenRiach,BenRiach Curiositas 10 Year Old,Scotch,55.99,7.5
BenRiach,BenRiach 10 Year Old,Scotch,47.99,8
Woodford Reserve,Woodford Reserve Kentucky Straight Bourbon Whiskey,Bourbon,32.99,7.9
Kirk and Sweeney,Kirk and Sweeney 12 Year Old Rum,Rum,32.99,7.9
STOLEN,STOLEN Overproof Rum,Rum,22.99,6.1
Six Saints,Six Saints Caribbean Rum,Rum,24.99,7.5
STOLEN,STOLEN 11 Whiskey,American Whiskey,42.99,7.5
STOLEN,STOLEN Smoked Rum,Rum,26.99,6.6
Parce Rum,Parce 12 Year Old Straight Colombian Rum,Rum,71.99,7.9
Glenfiddich,Glenfiddich 18 Year Old,Scotch,100.99,8.2
Glengoyne,Glengoyne 21 Year Old,Scotch,205.99,8.9
Mars Shinshu,Mars Shinshu Iwai Tradition Whisky,Japanese Whisky,56.99,6.8
Alipus,Alipus San Andres Mezcal,Mezcal,55.99,6.5
Jefferson's,Jefferson's Very Small Batch Bourbon,Bourbon,33.99,7.8
The Glenlivet,The Glenlivet Founder's Reserve,Scotch,33.99,7.3
No.3,No.3 London Dry Gin,Gin,41.99,7.7
Koval,Koval Dry Gin,Gin,38.99,7.8
Isle of Skye,Isle Of Skye 12 Year Old,Scotch,41.99,7.1
Nonino,Nonino Grappa I Vigneti Monovitigno Il Moscato,Grappa,79.99,7.1
Koval,Koval Single Barrel Four Grain Whiskey,American Whiskey,49.99,7.5
Brenne,BRENNE French Single Malt Whisky - Estate Cask,French Whisky,61.99,7.1
Centenario International,Centenario Fundacion 20 Reserva Especial,Rum,56.99,8.1
Auchentoshan,Auchentoshan Three Wood,Scotch,67.99,7.8
Auchentoshan,Auchentoshan 18 Year Old,Scotch,139.99,7.6
Plantation,Plantation Pineapple Stiggin's Fancy Rum,Rum,29.99,8.3
The Glenlivet,The Glenlivet 15 Year Old French Oak Reserve,Scotch,63.99,8.2
Koval,Koval Single Barrel Bourbon Whiskey,Bourbon,49.99,7
El Dorado,El Dorado 15 Year Old,Rum,51.99,8.2
Auchentoshan,Auchentoshan 12 Year Old Whisky,Scotch,52.99,7.2
Pike Creek,Pike Creek Canadian Whisky,Canadian Whisky,34.99,7.9
WhistlePig,WhistlePig Old World 12 Year Old Rye Whiskey,Rye,115.99,8.7
Rey Campero,Rey Campero Espadin,Mezcal,59.99,6.6
The Glenlivet,The Glenlivet 12 Year Old,Scotch,37.99,7.4
Akashi,Akashi White Oak Blended Japanese Whisky,Japanese Whisky,42.99,7.5
The Glenlivet,The Glenlivet Nàdurra Peated Cask Finish,Scotch,86.99,8.3
Redbreast,Redbreast 21 Year Old,Irish Whiskey,274.99,8.9
Marca Negra,Marca Negra Mezcal Tepeztate,Mezcal,112.99,8.9
3 Badge Mixology,Uncle Val's Botanical Gin,Gin,32.99,8.3
English Harbour,English Harbour 5 Year Old,Rum,32.99,8.3
The Glenlivet,The Glenlivet Nàdurra First Fill Selection,Scotch,86.99,8.1
Corsair,Corsair Oatrage Whiskey,American Whiskey,47.99,7.8
Dad's Hat,Dad's Hat Pennsylvania Rye Whiskey - Port Barrel Finish,Rye,49.99,7.6
Tipperary,Tipperary Watershed Boutique Selection,Irish Whiskey,94.99,7.7
Alipus,Alipus San Juan del Rio Mezcal,Mezcal,51.99,6.8
D'Aincourt,D'Aincourt Cognac Premier Cru,Cognac,4200,8.5
Dry Fly,Dry Fly Straight Washington Wheat Whiskey,American Whiskey,39.99,7.7
Few,Few Bourbon Whiskey,Bourbon,35.99,6.8
D'Aincourt,D'Aincourt Cognac Extra,Cognac,980,8.1
Brockmans,Brockmans Intensely Smooth Gin,Gin,36.99,8.8
Balcones,Balcones Rumble,Spirit,56.99,7.7
Agavero,Agavero Tequila Liqueur,Tequila,25.99,8.4
Breckenridge,Breckenridge Bourbon Whiskey,Bourbon,41.99,7.4
Laphroaig,Laphroaig Lore,Scotch,96.99,8.2
Fair.,FAIR. Quinoa Vodka,Vodka,30.99,8.3
Ilegal Mezcal,Ilegal Mezcal Reposado,Mezcal,55.99,7.3
Corsair,Corsair Quinoa Whiskey,American Whiskey,54.99,7.6
La Muse,La Muse Verte Absinthe,Absinthe,69.99,7.8
Ransom Spirits,Ransom Old Tom Gin,Gin,37.99,8
Compass Box,Compass Box Oak Cross,Scotch,59.99,7.9
Angostura,Angostura 12 Year Old 1824,Rum,75.99,8.3
Greenhook Ginsmiths,Greenhook Ginsmiths American Dry Gin,Gin,36.99,8.4
Glenfarclas,Glenfarclas 21 Year Old,Scotch,131.99,8.3
Dalwhinnie,Dalwhinnie 1989 25 Year Old Special Releases 2015,Scotch,658.99,8.8
Crop Harvest Earth,Farmer's Organic Gin,Gin,31.99,8
Highland Park,Highland Park 25 Year Old,Scotch,612.99,8
Golden Moon,Golden Moon Gin,Gin,46.99,7.9
Ron Del Barrilito,Ron Del Barrilito 3 Star Rum,Rum,56.99,8.4
Breuckelen,Glorious Gin,Gin,37.99,8.3
Bootlegger 21,Bootlegger 21 New York Gin,Gin,35.99,8.6
Two James,Two James Spirits Catcher's Rye,Rye,49.99,7.3
Catoctin Creek,Catoctin Creek Watershed Gin,Gin,33.99,7.5
Leopold Bros,Leopold Bros American Small Batch Whiskey,American Whiskey,35.99,7.4
Westland,Westland Peated American Single Malt Whiskey,American Whiskey,66.99,7.3
Del Maguey,Del Maguey Vida Mezcal,Mezcal,40.99,7.3
Black Dirt Distillery,Black Dirt Distillery Apple Jack,Brandy,48.99,6.9
Elijah Craig,Elijah Craig Small Batch Bourbon,Bourbon,22.99,7.6
Compass Box,Compass Box The Peat Monster,Scotch,64.99,7.1
Benromach,Benromach 10 Year Old,Scotch,57.99,7.6
Citadelle,Citadelle Gin,Gin,23.99,8.2
George A. Dickel's,George Dickel Rye Whisky,Rye,24.99,7.1
Bender's,Bender's Rye Whiskey,Rye,47.99,6.5
Copper Fox,Copper Fox Rye Whisky,Rye,48.99,6.2
Glen Scotia,Glen Scotia Victoriana,Scotch,130.99,8.4
Tomatin,Tomatin Cu Bocan,Scotch,62.99,7.6
Barr Hill,Barr Hill Gin,Gin,40.99,8
The Macallan,The Macallan 12 Year Old Sherry Oak,Scotch,74.99,8.2
Dos Maderas,Dos Maderas PX 5YO + 5YO Rum,Rum,40.99,8
The Dalmore,The Dalmore 25 Year Old,Scotch,1165.99,9.5
Johnnie Walker,Johnnie Walker Black Label 12 Year Old,Scotch,34.99,6.9
Bowmore,Bowmore 12 Year Old,Scotch,52.99,7.5
Scapa,Scapa Skiren,Scotch,85.99,7.3
Glen Garioch,Glen Garioch 1797 Founder's Reserve,Scotch,50.99,7.9
Compass Box,Compass Box Great King Street Artist's Blend,Scotch,36.99,7.5
Johnnie Walker,Johnnie Walker Double Black,Scotch,43.99,7.5
Ardbeg,Ardbeg 10 Year Old,Scotch,50.99,8.1
Wild Turkey,Wild Turkey 101,Bourbon,24.99,7.4
Chivas Regal,Chivas Regal Extra Scotch Whisky,Scotch,37.99,6.8
Avion,Avion Anejo Tequila,Tequila,49.99,8.6
Journeyman,Journeyman Featherbone Bourbon Whiskey,Bourbon,49.99,6.6
Avion,Avion Reserva 44 Extra Anejo Tequila,Tequila,108.99,9.2
Knob Creek,Knob Creek Smoked Maple Bourbon,Bourbon,30.99,7.6
Inchmurrin,Inchmurrin 18 Year Old,Scotch,154.99,8.2
Glen Scotia,Glen Scotia 15 Year Old,Scotch,80.99,8
The Macallan,The Macallan 12 Year Old Double Cask,Scotch,61.99,8
Ron Abuelo,Ron Abuelo Centuria,Rum,153.99,9.4
Talisker,Talisker 18 Year Old,Scotch,155.99,8.9
Craigellachie,Craigellachie 13 Year Old,Scotch,53.99,7.8
Bunnahabhain,Bunnahabhain 12 Year Old,Scotch,55.99,8
Balblair,Balblair 2003,Scotch,74.99,7.6
Knob Creek,Knob Creek Straight Bourbon,Bourbon,30.99,7.4
Crown Royal,Crown Royal XR Blue Label,Canadian Whisky,119.99,8.1
Talisker,Talisker 10 Year Old,Scotch,49.99,8
Corsair,Corsair Triple Smoke,American Whiskey,45.99,7.6
Redbreast,Redbreast 12 Year Old Cask Strength,Irish Whiskey,70.99,8.6
Laphroaig,Laphroaig 10 Year Old Cask Strength,Scotch,68.99,7.9
The Dalmore,The Dalmore King Alexander III,Scotch,267.99,8.7
Few,Few Single Malt Whisky,American Whiskey,47.99,6.2
Corralejo,Corralejo Tequila Anejo,Tequila,42.99,7.8
Bobby's Gin Company,Bobby's Schiedam Dry Gin,Gin,41.99,8.5
Cardhu,Cardhu 12 Year Old,Scotch,57.99,7.6
Del Maguey,Del Maguey Chichicapa Mezcal,Mezcal,76.99,8.2
Benromach,Benromach Organic,Scotch,79.99,8
Leopold Bros,Leopold's Navy Strength Gin,Gin,42.99,8.4
The Macallan,The Macallan 15 Year Old Fine Oak,Scotch,125.99,8.1
Glengoyne,Glengoyne 12 Year Old,Scotch,52.99,7.9
Bowmore,Bowmore 18 Year Old,Scotch,130.99,8.4
Dry Fly,Dry Fly Dry Gin,Gin,37.99,7.8
Glenkinchie,Glenkinchie 12 Year Old,Scotch,66.99,6.9
El Dorado,El Dorado 12 Year Old,Rum,37.99,8.3
The Dalmore,The Dalmore 12 Year Old,Scotch,62.99,8.1
The Glenlivet,The Glenlivet XXV,Scotch,424.99,8.6
Ledaig,Ledaig 42 Year Old Dusgadh,Scotch,4076.99,6.8
Glenfarclas,Glenfarclas 12 Scotch Whisky,Scotch,58.99,7.8
Laphroaig,Laphroaig Select,Scotch,39.99,7.6
The Macallan,The Macallan 17 Year Old Fine Oak,Scotch,343.99,7.5
Powers,Powers Gold Label,Irish Whiskey,29.99,7.6
New England Distilling,New England Distilling Gunpowder Rye,American Whiskey,51.99,7
Mitchell & Son,Green Spot Single Pot Still,Irish Whiskey,60.99,8.1
Teeling,Teeling Small Batch Irish Whiskey,Irish Whiskey,33.99,7.8
Redbreast,Redbreast 15 Year Old,Irish Whiskey,91.99,8.2
Ron Barceló,Ron Barceló Imperial,Rum,31.99,7.7
New England Distilling,New England Distilling Eight Bells Rum,Rum,49.99,6.3
Blackwell,Blackwell Jamaican Black Gold Rum,Rum,22.99,7.8
Owney's,Owney's Original Rum,Rum,36.99,7.2
Plantation,Plantation 5 Year Old Grand Reserve Rum,Rum,25.99,8
Appleton,Appleton Estate Signature Blend,Rum,21.99,7.4
Gosling's,Gosling's Black Seal 151 Proof,Rum,24.99,7.6
Nolet's Finest Gins,Nolet's Silver Dry Gin,Gin,37.99,8.8
El Tesoro de Don Felipe,El Tesoro de Don Felipe Añejo Tequila,Tequila,55.99,8.2
Partida Tequila,Partida Tequila Reposado,Tequila,48.99,7.5
Osocalis,Osocalis XO Brandy,Brandy,123.99,6